Code,Item,Group,Region_Number,Region_Name,State_Name,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Average_Annual_Percent_Growth
1,Medicaid/Personal Health Care ($),State,5,Southeast,Florida,3113.096,2649.579,2683.228,2991.116,3434.866,3858.195,3713.371,4013.033,4048.727,4172.603,4254.292,4583.821,5018.455,5485.325,5390.105,5302.312,5871.855,5858.475,5855.174,3.6
1,Medicaid/Personal Health Care ($),State,5,Southeast,Georgia,2997.877,2756.771,2943.534,3143.946,3216.24,3314.891,3414.548,3606.749,3814.7,4772.916,5533.654,5485.088,5423.293,5531.784,4991.404,4745.177,5684.508,5248.751,4835.47,2.7
1,Medicaid/Personal Health Care ($),State,5,Southeast,Kentucky,2621.698,3017.71,3158.617,3286.01,3436.077,3739.757,4394.921,4678.144,4977.368,5636.816,5705.209,6000.769,5604.056,6461.851,6145.646,6097.636,6533.844,6479.684,7088.594,5.7
1,Medicaid/Personal Health Care ($),State,5,Southeast,Louisiana,3618.014,3907.917,4935.689,5218.016,4873.56,4351.958,4753.533,4559.556,4453.363,4471.233,5003.74,4474.358,4777.494,5208.122,5488.926,5392.436,6077.364,6198.944,6371.111,3.2
1,Medicaid/Personal Health Care ($),State,5,Southeast,Mississippi,1981.234,2223.822,2318.325,2663.713,3038.535,3412.468,3618.561,3906.869,3887.876,4036.055,4413.87,4582.43,4621.255,5240.691,4729.039,5051.411,5687.74,5616.222,5849.674,6.2
1,Medicaid/Personal Health Care ($),State,5,Southeast,North Carolina,3444.8,3328.941,3508.033,3630.96,4100.107,4390.782,4599.282,4789.322,5097.302,5563.352,5936.955,5869.164,5892.867,6640.696,7081.991,6831.22,6878.845,7277.481,7275.372,4.2
1,Medicaid/Personal Health Care ($),State,5,Southeast,South Carolina,4136.423,4093.146,4094.828,4111.431,4099.931,3976.781,3709.41,3603.612,3749.88,4034.831,4196.426,4233.292,3881.776,4774.649,4981.742,5249.515,5634.868,6197.793,6605.682,2.6
1,Medicaid/Personal Health Care ($),State,5,Southeast,Tennessee,2210.031,2442.466,2411.321,2564.464,2164.756,2256.816,2503.9,2762.18,2942.824,3314.608,3514.197,3765.801,4384.629,4829.065,4965.827,4477.05,5185.908,5146.972,5149.646,4.8
1,Medicaid/Personal Health Care ($),State,5,Southeast,Virginia,3487.848,3082.757,3211.424,3163.312,3296.412,3516.709,3864.396,4113.324,4436.63,5228.82,6227.995,5750.989,5921.439,5815.184,6095.204,6240.731,6685.574,7031.182,7087.956,4
1,Medicaid/Personal Health Care ($),State,5,Southeast,West Virginia,2888.867,3496.074,3995.348,3946.703,3806.7,4194.048,5283.837,4788.121,4854.411,5314.895,5571.003,5602.86,6179.056,6587.835,6580.102,6466.95,6552.983,6469.839,6885.928,4.9
1,Medicaid/Personal Health Care ($),Region,6,Southwest,,3069.864,3117.249,3257.323,3378.713,3507.622,3806.684,4032.518,4301.886,4566.549,4633.72,4893.275,4862.994,4738.287,4983.652,5392.387,5510.145,5907.594,6070.882,6279.338,4.1
1,Medicaid/Personal Health Care ($),State,6,Southwest,Arizona,2319.695,2546.937,2574.787,2748.428,2754.004,2885.958,3186.915,3520.141,4151.206,3737.797,4108.428,3885.53,3895.421,4228.902,4578.362,5114.503,5392.934,5573.465,5739.056,5.2
1,Medicaid/Personal Health Care ($),State,6,Southwest,New Mexico,3295.266,3340.262,3610.206,3154.019,3173.913,3588.655,3516.867,3714.788,3582.779,3857.443,4266.973,4555.812,4800.782,4974.796,5316.206,5554.721,6277.505,6358.971,6409.1,3.8
1,Medicaid/Personal Health Care ($),State,6,Southwest,Oklahoma,3451.897,3434.699,3383.079,3159.162,3306.563,3644.348,4207.26,4352.036,3913.418,4014.052,4723.288,4920.132,4762.535,5037.873,5352.613,5519.557,5860.72,6271.436,6265.4,3.4
1,Medicaid/Personal Health Care ($),State,6,Southwest,Texas,3151.404,3174.762,3365.389,3578.732,3747.321,4071.09,4272.515,4559.957,4948.216,5121.995,5264.781,5232.754,5020.708,5244.479,5704.392,5642.066,6048.77,6178.436,6469.067,4.1
1,Medicaid/Personal Health Care ($),Region,7,Rocky Mountains,,3863.888,3768.304,3848.568,4007.855,4334.207,4819.856,5334.8,5731.185,5998.15,6303.298,6326.652,6228.015,6098.883,6335.204,6568.695,6621.371,7073.012,7370.945,7406.736,3.7
1,Medicaid/Personal Health Care ($),State,7,Rocky Mountains,Colorado,3597.931,3722.718,3776.477,4104.618,4613.103,4855.4,5365.175,6023.823,6648.935,6723.122,6699.793,6792.663,6571.989,6438.983,6598.861,6407.946,6974.963,7137.766,7037.696,3.8
1,Medicaid/Personal Health Care ($),State,7,Rocky Mountains,Idaho,4377.525,3822.692,3702.155,3595.381,3760.545,4405.032,4731.927,5388.757,5600.548,5520.283,5544.996,5318.277,5321.073,5951.391,5977.025,5954.709,6569.787,7040.985,7092.938,2.7
1,Medicaid/Personal Health Care ($),State,7,Rocky Mountains,Montana,4163.418,4141.392,4430.595,4493.38,4559.679,5047.309,5269.933,6147.603,5136.195,6848.324,7071.536,6275.255,6585.898,7468.2,7980.923,8270.837,8661.021,9412.057,9936.842,5
1,Medicaid/Personal Health Care ($),State,7,Rocky Mountains,Utah,4135.236,3733.282,3811.314,3814.963,4051.441,4823.569,5690.937,5186.183,5534.699,5882.33,5987.615,6065.065,5729.401,5956.381,6435.383,6835.076,6926.503,7072.257,7293.424,3.2
1,Medicaid/Personal Health Care ($),State,7,Rocky Mountains,Wyoming,3235.496,3387.735,3699.351,4034.682,4308.683,5113.651,5573.296,5661.026,5616.32,5882.904,5808.44,5492.411,5698.708,6373.94,6440.867,6956.009,7468.346,8183.777,8079.028,5.2
1,Medicaid/Personal Health Care ($),Region,8,Far West,,2362.825,2290.361,2522.707,2639.239,2900.384,3118.376,3353.558,3629.585,3972.254,3578.797,3847.461,3767.973,3947.892,4169.107,4393.887,4368.035,4664.494,4778.52,4963.373,4.2
1,Medicaid/Personal Health Care ($),State,8,Far West,Alaska,4987.977,4596.067,4953.51,4169.107,4343.395,5162.354,6472.794,5658.453,5913.005,6832.526,7825.262,8989.314,10375.583,10006.812,10715.145,10374.539,10584.67,10825.576,11569.022,4.8
1,Medicaid/Personal Health Care ($),State,8,Far West,California,2085.843,2005.598,2242.383,2348.878,2552.142,2800.437,3090.707,3412.483,3750.759,3233.43,3507.516,3412.494,3610.944,3806.123,4004.487,4005.376,4256.642,4352.657,4569.323,4.5
1,Medicaid/Personal Health Care ($),State,8,Far West,Hawaii,3302.149,3095.16,3569.846,5845.065,15984.358,13630.377,9402.254,3774.027,3463.825,3877.377,4041.852,4426.037,4476.8,5095.48,5518.2,5013.491,5989.755,6097.397,5851.842,3.2
1,Medicaid/Personal Health Care ($),State,8,Far West,Nevada,4495.724,4644.248,4576.062,4236.371,4321.885,4499.2,4848.75,5230.226,4980.864,5420.377,5632.316,5475.686,5186.83,5712.96,6243.835,6408.202,6703.459,6476.795,6002.777,1.6
1,Medicaid/Personal Health Care ($),State,8,Far West,Oregon,3624.199,3524.273,3650.207,3733.549,4410.771,4278.648,3820.85,4379.75,5031.84,5254.117,5515.155,5534.95,5613.634,6180.356,6640.375,6561.765,7185.023,7508.372,7895.717,4.4
1,Medicaid/Personal Health Care ($),State,8,Far West,Washington,3794.296,3732.318,3848.208,3802.877,3815.371,3987.195,4048.021,4332.951,4802.827,4908.769,5142.219,4983.806,5153.542,5366.052,5580.338,5442.113,5963.555,6137.874,6018.118,2.6
2,Medicaid/Hospital Care ($),United States,0,United States,,1457.084,1536.301,1607.074,1680.605,1746.067,1819.01,1859.576,1960.274,2080.117,2084.811,2112.515,2101.016,2112.309,2194.349,2287.694,2418.319,2623.253,2617.662,2687.576,3.5
2,Medicaid/Hospital Care ($),Region,1,New England,,1504.201,1731.127,1717.812,2028.557,2178.537,2221.197,2574.784,2463.489,2465.433,2417.139,2461.435,2513.025,2573.379,2909.982,3168.77,3008.655,2929.133,2959.758,3080.225,4.1
2,Medicaid/Hospital Care ($),State,1,New England,Connecticut,1546.242,1623.158,1757.444,2104.19,2367.511,2608.925,2872.755,2458.981,2270.399,2218.297,2067.8,2065.487,2019.154,2164.708,2133.802,2339.161,2426.72,2512.216,2558.312,2.8
2,Medicaid/Hospital Care ($),State,1,New England,Maine,972.328,1297.629,1719.033,1911.277,1831.506,1855.94,2278.204,2455.966,1836.815,1735.992,1371.709,973.967,1723.452,1945.856,2173.634,1915.55,1914.295,1955.697,2941.239,6.3
2,Medicaid/Hospital Care ($),State,1,New England,Massachusetts,1698.042,2005.818,1782.264,2051.509,2278.616,2371.937,2756.449,2680.096,2883.793,2871.786,2939.204,3283.876,3181.713,3610.545,4048.101,3428.759,3256.435,3180.423,3133.349,3.5
2,Medicaid/Hospital Care ($),State,1,New England,New Hampshire,1425.634,2181.515,2418.494,2467.365,2580.664,2098.733,1787.922,2218.111,2268.37,2604.971,2716.6,2881.949,3091.099,3493.052,3273.269,3139.232,3632.572,3388.79,3323.016,4.8
2,Medicaid/Hospital Care ($),State,1,New England,Rhode Island,1294.41,1472.51,1456.981,2417.286,2176.837,1863.9,3049.701,2598.422,2507.001,2019.684,3172.582,2927.519,2692.227,3420.204,3396.218,3860.879,3050.38,4071.134,4302.694,6.9
2,Medicaid/Hospital Care ($),State,1,New England,Vermont,912.219,815.267,817.855,841.48,848.681,796.168,715.338,806.762,833.745,936.618,991.99,1080.863,1158.612,1255.583,1850.26,3126.809,3256.564,2974.629,3082.179,7
2,Medicaid/Hospital Care ($),Region,2,Mideast,,2458.938,2600.737,2533.552,2653.946,2737.107,2755.058,2566.228,2919.681,3018.714,3136.435,3126.25,3274.654,3264.852,3196.055,3213.941,3548.752,3728.276,3655.338,3587.284,2.1
2,Medicaid/Hospital Care ($),State,2,Mideast,Delaware,1631.889,1511.892,1468.299,1498.957,1638.667,1676.321,1205.302,1497.015,1218.976,1321.597,1324.044,1334.542,1491.15,1607.085,1847.786,2088.368,2248.594,2097.289,2011.208,1.2
2,Medicaid/Hospital Care ($),State,2,Mideast,District of Columbia,2782.129,2630.74,2885.111,3214.139,3169.653,3025.376,3413.65,4063.072,3439.14,3576.059,3388.197,3545.972,3634.549,3568.433,4092.51,3895.904,4284.361,3956.682,3968.836,2
2,Medicaid/Hospital Care ($),State,2,Mideast,Maryland,2087.273,2103.336,2365.66,2459.09,2372.173,1899.792,1397.257,2392.466,2503.605,2255.674,2592.879,2666.972,2853.64,2935.825,2997.476,3185.704,3483.698,3454.508,3224.804,2.4
2,Medicaid/Hospital Care ($),State,2,Mideast,New Jersey,2192.578,2318.875,2475.586,2649.4,2801.395,2817.13,2932.365,2979.544,3169.882,3196.645,3160.916,3611.653,3860.331,3662.708,3988.17,4393.009,4348.499,4250.381,4048.958,3.5
2,Medicaid/Hospital Care ($),State,2,Mideast,New York,3297.837,3344.576,3177.644,3293.239,3421.532,3478.669,3115.278,3602.871,3658.16,3874.841,3736.274,3774.829,3731.269,3609.896,3467.076,3863.72,3969.388,3942.453,3903.126,0.9
2,Medicaid/Hospital Care ($),State,2,Mideast,Pennsylvania,1030.603,1511.075,1396.264,1500.829,1539.737,1720.764,1959.056,1771.401,1974.156,2075.282,2135.365,2274.098,2101.795,2156.011,2369.566,2624.914,3034.205,2909.282,2903.405,5.9
2,Medicaid/Hospital Care ($),Region,3,Great Lakes,,1232.81,1387.253,1592.441,1602.838,1684.834,1855.105,2044.282,1951.392,2380.986,2462.964,2294.408,2185.859,2168.794,2147.486,2230.626,2302.973,2655.484,2602.297,2777.131,4.6
2,Medicaid/Hospital Care ($),State,3,Great Lakes,Illinois,885.468,1268.826,1585.848,1612.733,1693.072,1946.355,2025.058,2101.851,2261.893,2520.385,2372.257,2291.277,2371.683,2310.628,2476.541,2616.9,3147.855,2835.842,3045.031,7.1
2,Medicaid/Hospital Care ($),State,3,Great Lakes,Indiana,1957.256,1904.78,2347.951,1783.131,1582.02,2078.901,2044.584,2295.825,2336.35,2622.799,2438.741,2112.123,1901.846,2219.503,1878.404,2090.338,2493.997,2812.034,2161.335,0.6
2,Medicaid/Hospital Care ($),State,3,Great Lakes,Michigan,1132.727,1261.247,1374.439,1477.263,1691.107,1743.271,2193.061,1512.91,3059.973,2750.611,2387.661,2223.755,2284.357,2122.208,2284.664,2258.294,2567.466,2574.982,2711.616,5
2,Medicaid/Hospital Care ($),State,3,Great Lakes,Ohio,1534.57,1573.444,1711.294,1796.635,1880.235,1960.452,2146.545,2223.478,2236.723,2433.687,2270.771,2272.918,2282.06,2318.481,2480.341,2524.661,2797.439,2780.987,2846.422,3.5
2,Medicaid/Hospital Care ($),State,3,Great Lakes,Wisconsin,1087.203,1046.691,1082.729,1170.056,1236.632,1329.014,1474.058,1496.107,1453.703,1524.864,1713.611,1676.463,1441.789,1344.946,1323.783,1382.877,1467.006,1471.063,2687.268,5.2
2,Medicaid/Hospital Care ($),Region,4,Plains,,1354.495,1649.374,1644.501,1672.534,1672.373,1742.081,1821.229,2010.363,2059.868,2249.41,2257.33,2474.822,2319.923,2459.508,2602.736,2992.02,3201.755,3189.035,3227.827,4.9
2,Medicaid/Hospital Care ($),State,4,Plains,Iowa,1389.298,1455.816,1645.567,1671.982,1730.331,1891.978,1797.11,2107.693,2329.373,2864.49,2582.818,3146,2584.488,2401.046,2321.072,2484.355,2483.666,2359.01,2255.353,2.7
2,Medicaid/Hospital Care ($),State,4,Plains,Kansas,1308.181,2080.392,1771.33,1850.064,1443.955,1444.943,1616.232,1630.279,1633.485,2104.652,2006.394,2102.095,1579.784,1879.197,2043.741,2452.023,2638.142,2818.345,2785.551,4.3
2,Medicaid/Hospital Care ($),State,4,Plains,Minnesota,1637.809,1534.305,1502.822,1415.445,1454.463,1407.186,1447.078,1574.886,1578.8,1705.623,1826.194,2256.44,1797.478,2150.999,1992.633,2281.361,2640.067,2544.79,2592.353,2.6
2,Medicaid/Hospital Care ($),State,4,Plains,Missouri,1007.744,1808.522,1701.036,1779.384,1831.21,1958.121,2142.352,2331.863,2435.967,2520.124,2572.063,2583.458,2734.504,2843.051,3292.264,4044.341,4316.067,4361.534,4464.193,8.6
2,Medicaid/Hospital Care ($),State,4,Plains,Nebraska,1192.182,1311.455,1656.372,1755.175,1725.307,1858.923,1723.465,2073.173,1963.649,1844.609,1980.508,2036.215,2415.02,2330.721,2550.612,2625.568,2794.907,2738.177,2833.43,4.9
2,Medicaid/Hospital Care ($),State,4,Plains,North Dakota,2227.126,1710.792,1869.256,1999.384,2366.394,2673.051,2741.929,2922.665,2667.795,3230.444,2813.779,2991.622,2882.364,3092.194,3091.895,3411.751,3414.196,3532.952,3700.502,2.9
2,Medicaid/Hospital Care ($),State,4,Plains,South Dakota,2291.158,1353.143,1442.942,1455.549,1471.226,1524.288,1704.104,1791.117,1645.102,1799.178,1727.27,2348.313,2072.471,2200.848,2065.452,2142.956,2253.489,2325.441,2523.953,0.5
2,Medicaid/Hospital Care ($),Region,5,Southeast,,1178.129,1186.457,1284.493,1370.914,1364.518,1392.029,1452.422,1504.335,1501.383,1673.139,1768.66,1789.319,1749.033,1910.329,1929.918,2108.26,2347.266,2308.701,2350.11,3.9
2,Medicaid/Hospital Care ($),State,5,Southeast,Alabama,704.163,978.908,1034.711,1115.196,1284.445,1262.168,847.851,1123.615,1144.993,1391.931,1068.747,1075.238,1166.834,1212.058,1406.247,1360.458,1540.594,1429.679,1469.488,4.2
2,Medicaid/Hospital Care ($),State,5,Southeast,Arkansas,1469.277,1421.035,1498.919,1445.822,1439.644,1456.991,1459.743,1312.109,1179.699,1198.767,1420.314,1594.282,1328.136,1390.932,1321.802,1388.175,1793.12,1736.883,1813.305,1.2
2,Medicaid/Hospital Care ($),State,5,Southeast,Florida,1335.923,1122.096,1119.005,1192.288,1329.711,1455.746,1298.299,1473.868,1396.499,1399.002,1378.924,1519.177,1641.652,1955.657,1894.546,2165.77,2411.209,2497.479,2443.078,3.4
2,Medicaid/Hospital Care ($),State,5,Southeast,Georgia,1269.198,1110.942,1234.415,1324.163,1322.65,1413.014,1405.845,1516.53,1575.294,2219.43,2802.561,2801.25,2664.291,2184.767,2194.911,2119.568,2707.467,2531.538,2324.593,3.4
2,Medicaid/Hospital Care ($),State,5,Southeast,Kentucky,868.848,1141.382,1190.971,1305.304,1440.025,1572.157,1774.896,1981.478,1970.379,2272.875,2055.732,2190.156,1947.184,2480.379,2106.923,2306.352,2471.901,2344.659,2868.715,6.9
2,Medicaid/Hospital Care ($),State,5,Southeast,Louisiana,1487.161,1620.941,2364.236,2636.906,2301.425,1743.093,2303.343,1996.755,1855.648,1794.686,2359.902,2063.408,1835.599,2064.068,2276.229,2467.137,2675.976,2506.612,2616.609,3.2
2,Medicaid/Hospital Care ($),State,5,Southeast,Mississippi,903.764,926.722,1017.881,1201.197,1448.116,1679.9,1788.239,1862.305,1686.651,1621.064,1761.468,1916.108,1871.288,2146.538,1814.376,2258.433,2615.716,2486.627,2551.913,5.9
2,Medicaid/Hospital Care ($),State,5,Southeast,North Carolina,1218.117,1191.126,1238.972,1251.763,1501.081,1586.211,1645.523,1640.451,1743.468,1888.008,2004.623,1862.96,1721.944,2039.284,2121.197,2327.108,2244.105,2279.016,2345.112,3.7
2,Medicaid/Hospital Care ($),State,5,Southeast,South Carolina,1794.614,1840.795,1815.838,1723.474,1603.44,1395.36,1255.909,1253.781,1238.654,1398.138,1346.438,1432.794,1082.259,1641.283,1869.983,2169.961,2243.04,2509.252,2967.299,2.8
2,Medicaid/Hospital Care ($),State,5,Southeast,Tennessee,769.982,1023.573,1009.026,1161.416,874.8,933.787,1144.473,1172.475,1293.663,1539.678,1529.129,1491.576,1582.175,1634.423,1747.268,1770.592,2079.164,2131.994,2078.288,5.7
2,Medicaid/Hospital Care ($),State,5,Southeast,Virginia,1289.783,1064.088,1183.039,1177.837,1230.615,1261.444,1409.003,1492.813,1543.441,1804.662,2040.773,2023.561,2110.076,2072.598,2234.332,2699.345,2894.157,2549.517,2385.72,3.5
2,Medicaid/Hospital Care ($),State,5,Southeast,West Virginia,1185.391,1225.841,1302.353,1400.548,1239.226,1410.632,1920.099,1702.665,1680.343,1768.905,1834.847,1764.535,1958.611,2129.705,1964.19,2114.133,2163.184,2023.502,2176.782,3.4
2,Medicaid/Hospital Care ($),Region,6,Southwest,,1316.146,1543.163,1609.494,1665.493,1672.781,1744.67,1740.318,1887.792,1939.115,1972.262,2033.493,1992.374,1878.195,2066.056,2321.428,2429.983,2776.734,2839.696,3033.145,4.7
2,Medicaid/Hospital Care ($),State,6,Southwest,Arizona,1812.764,2064.793,1856.87,1958.79,1912.355,1898.28,1985.537,2172.775,2443.337,2490.281,2606.557,2390.967,2274.457,2724.181,2828.335,3234.373,3697.156,3865.943,4060.3,4.6
2,Medicaid/Hospital Care ($),State,6,Southwest,New Mexico,1294.923,1269.895,1384.872,1210.825,1189.324,1317.645,1275.373,1539.368,1410.996,1782.788,1858.986,1921.922,1832.574,2024.034,2299.384,2397.688,2973.318,3079.24,4158.834,6.7
